display_status,product_id,parent_product_id,product_name,sku,variant_options,price,currency,quantity_available,stock_availability_status,restock_threshold,product_type,product_url_slug,product_short_description,product_description,product_images,meta_title,meta_description,primary_keyword,image_alt_text,product_rating,review_count,discount_price,cost_price,return_policy,product_dimensions,product_weight,stock_location,supplier_name,additional_details,shipping_cost,shipping_time_eta,shipping_regions
Draft,ls001,,lampshades_1,ls-001,,23.04,INR,39,In Stock,8,lampshades,lampshades-1,High quality lampshades,High quality lampshades with multiple variants.,https://placehold.co/600x600?text=ls001+1 | https://placehold.co/600x600?text=ls001+2 | https://placehold.co/600x600?text=ls001+3 | https://placehold.co/600x600?text=ls001+4 | https://placehold.co/600x600?text=ls001+5,Lampshades Product,Buy premium lampshades online,lampshades,lampshades image,4.7,33,,17.87,30 day return,10 x 18 x 3 in,3.63 lb,Jamarko Retail Store B,Jamarko,- Material: metal - Dimensions: 17 x 18 x 3 in - Weight: 1.82 lb - High-quality lampshades product,3.57,7 days,Nepal
PreOrder,ls001-striped,ls001,lampshades_1,ls-001-striped,pattern:striped,24.51,INR,12,In Stock,3,lampshades,lampshades-1-striped,High quality lampshades,High quality lampshades with multiple variants.,https://placehold.co/600x600?text=ls001-striped+1 | https://placehold.co/600x600?text=ls001-striped+2,Lampshades Product,Buy premium lampshades online,lampshades,lampshades image,4.6,137,,12.65,30 day return,12 x 9 x 9 in,12.78 lb,Jamarko Retail Store B,Jamarko,- Material: metal - Dimensions: 5 x 8 x 7 in - Weight: 8.83 lb - Options: pattern:striped - High-quality lampshades product,3.57,7 days,Nepal
Draft,ls001-floral,ls001,lampshades_1,ls-001-floral,pattern:floral,22.95,INR,18,In Stock,,lampshades,lampshades-1-floral,High quality lampshades,High quality lampshades with multiple variants.,https://placehold.co/600x600?text=ls001-floral+1 | https://placehold.co/600x600?text=ls001-floral+2 | https://placehold.co/600x600?text=ls001-floral+3,Lampshades Product,Buy premium lampshades online,lampshades,lampshades image,4.7,243,,12.56,30 day return,20 x 12 x 6 in,4.25 lb,Jamarko Retail Store B,Jamarko,- Material: fabric - Dimensions: 9 x 6 x 2 in - Weight: 3.34 lb - Options: pattern:floral - High-quality lampshades product,3.57,7 days,Nepal
Draft,ls001-geometric,ls001,lampshades_1,ls-001-geometric,pattern:geometric,21.18,INR,9,In Stock,1,lampshades,lampshades-1-geometric,High quality lampshades,High quality lampshades with multiple variants.,https://placehold.co/600x600?text=ls001-geometric+1 | https://placehold.co/600x600?text=ls001-geometric+2,Lampshades Product,Buy premium lampshades online,lampshades,lampshades image,4.3,67,,15.99,30 day return,10 x 9 x 8 in,1.49 lb,Jamarko Retail Store B,Jamarko,- Material: fabric - Dimensions: 17 x 17 x 2 in - Weight: 13.94 lb - Options: pattern:geometric - High-quality lampshades product,3.57,7 days,Nepal
Archived,jb002,,jewelry_boxes_2,jb-002,,4.47,INR,0,Backorder,,jewelry_boxes,jewelry-boxes-2,High quality jewelry boxes,High quality jewelry boxes with multiple variants.,https://placehold.co/600x600?text=jb002+1 | https://placehold.co/600x600?text=jb002+2,Jewelry_Boxes Product,Buy premium jewelry_boxes online,jewelry_boxes,jewelry_boxes image,4.7,175,,2.82,30 day return,4 x 18 x 4 in,3.3 lb,Jamarko Retail Store A,Jamarko,- Material: leather - Dimensions: 11 x 18 x 4 in - Weight: 1.99 lb - High-quality jewelry boxes product,9.82,13 days,Nepal
PreOrder,bag003,,paper_bags_3,bag-003,,5,NPR,39,In Stock,9,paper_bags,paper-bags-3,High quality paper bags,High quality paper bags with multiple variants.,https://placehold.co/600x600?text=bag003+1 | https://placehold.co/600x600?text=bag003+2 | https://placehold.co/600x600?text=bag003+3 | https://placehold.co/600x600?text=bag003+4 | https://placehold.co/600x600?text=bag003+5,Paper_Bags Product,Buy premium paper_bags online,paper_bags,paper_bags image,4.9,156,,3.99,30 day return,15 x 10 x 7 in,1.74 lb,Jamarko Retail Store A,Jamarko,- Material: leather - Dimensions: 10 x 8 x 5 in - Weight: 7.69 lb - High-quality paper bags product,3.27,6 days,Nepal
PreOrder,bag003-a5-wood,bag003,paper_bags_3,bag-003-a5-wood,size:a5 | material:wood,4.96,NPR,17,In Stock,5,paper_bags,paper-bags-3-a5-wood,High quality paper bags,High quality paper bags with multiple variants.,https://placehold.co/600x600?text=bag003-a5-wood+1 | https://placehold.co/600x600?text=bag003-a5-wood+2,Paper_Bags Product,Buy premium paper_bags online,paper_bags,paper_bags image,4.7,231,,3.3,30 day return,3 x 15 x 4 in,13.8 lb,Jamarko Retail Store B,Jamarko,- Material: fabric - Dimensions: 18 x 16 x 2 in - Weight: 8.74 lb - Options: size:a5 | material:wood - High-quality paper bags product,3.27,6 days,Nepal
Unpublished,bag003-medium-leather,bag003,paper_bags_3,bag-003-medium-leather,size:medium | material:leather,5.55,NPR,3,In Stock,1,paper_bags,paper-bags-3-medium-leather,High quality paper bags,High quality paper bags with multiple variants.,https://placehold.co/600x600?text=bag003-medium-leather+1 | https://placehold.co/600x600?text=bag003-medium-leather+2 | https://placehold.co/600x600?text=bag003-medium-leather+3 | https://placehold.co/600x600?text=bag003-medium-leather+4,Paper_Bags Product,Buy premium paper_bags online,paper_bags,paper_bags image,4.7,132,,4.26,30 day return,7 x 18 x 3 in,3.59 lb,Jamarko Retail Store B,Jamarko,- Material: wood - Dimensions: 7 x 19 x 2 in - Weight: 8.0 lb - Options: size:medium | material:leather - High-quality paper bags product,3.27,6 days,Nepal
OutOfStock,bag003-a4-fabric,bag003,paper_bags_3,bag-003-a4-fabric,size:a4 | material:fabric,5.09,NPR,19,In Stock,4,paper_bags,paper-bags-3-a4-fabric,High quality paper bags,High quality paper bags with multiple variants.,https://placehold.co/600x600?text=bag003-a4-fabric+1 | https://placehold.co/600x600?text=bag003-a4-fabric+2,Paper_Bags Product,Buy premium paper_bags online,paper_bags,paper_bags image,4.8,253,,2.93,30 day return,14 x 11 x 5 in,14.43 lb,Jamarko Retail Store A,Jamarko,- Material: metal - Dimensions: 7 x 4 x 3 in - Weight: 13.93 lb - Options: size:a4 | material:fabric - High-quality paper bags product,3.27,6 days,Nepal
ComingSoon,bx004,,boxes_4,bx-004,,20.54,NPR,19,In Stock,7,boxes,boxes-4,High quality boxes,High quality boxes with multiple variants.,https://placehold.co/600x600?text=bx004+1 | https://placehold.co/600x600?text=bx004+2 | https://placehold.co/600x600?text=bx004+3,Boxes Product,Buy premium boxes online,boxes,boxes image,4.4,54,,14.34,30 day return,8 x 11 x 8 in,7.41 lb,Jamarko Warehouse,Jamarko,- Material: metal - Dimensions: 7 x 3 x 2 in - Weight: 1.51 lb - High-quality boxes product,9.36,4 days,Nepal
Draft,bx004-fabric-glossy,bx004,boxes_4,bx-004-fabric-glossy,material:fabric | finish:glossy,21.1,NPR,10,In Stock,3,boxes,boxes-4-fabric-glossy,High quality boxes,High quality boxes with multiple variants.,https://placehold.co/600x600?text=bx004-fabric-glossy+1 | https://placehold.co/600x600?text=bx004-fabric-glossy+2 | https://placehold.co/600x600?text=bx004-fabric-glossy+3 | https://placehold.co/600x600?text=bx004-fabric-glossy+4,Boxes Product,Buy premium boxes online,boxes,boxes image,4.8,278,,12.15,30 day return,5 x 17 x 9 in,8.48 lb,Jamarko Warehouse,Jamarko,- Material: paper - Dimensions: 15 x 5 x 5 in - Weight: 5.79 lb - Options: material:fabric | finish:glossy - High-quality boxes product,9.36,4 days,Nepal
Draft,bx004-fabric-matte,bx004,boxes_4,bx-004-fabric-matte,material:fabric | finish:matte,22.24,NPR,8,In Stock,1,boxes,boxes-4-fabric-matte,High quality boxes,High quality boxes with multiple variants.,https://placehold.co/600x600?text=bx004-fabric-matte+1 | https://placehold.co/600x600?text=bx004-fabric-matte+2,Boxes Product,Buy premium boxes online,boxes,boxes image,4.2,280,,14.51,30 day return,13 x 6 x 10 in,12.92 lb,Jamarko Warehouse,Jamarko,- Material: metal - Dimensions: 14 x 17 x 3 in - Weight: 14.3 lb - Options: material:fabric | finish:matte - High-quality boxes product,9.36,4 days,Nepal
Published,bx004-leather-glossy,bx004,boxes_4,bx-004-leather-glossy,material:leather | finish:glossy,23.49,NPR,1,In Stock,,boxes,boxes-4-leather-glossy,High quality boxes,High quality boxes with multiple variants.,https://placehold.co/600x600?text=bx004-leather-glossy+1 | https://placehold.co/600x600?text=bx004-leather-glossy+2,Boxes Product,Buy premium boxes online,boxes,boxes image,4.8,222,,15.04,30 day return,15 x 11 x 1 in,6.79 lb,Jamarko Retail Store B,Jamarko,- Material: leather - Dimensions: 6 x 11 x 6 in - Weight: 5.33 lb - Options: material:leather | finish:glossy - High-quality boxes product,9.36,4 days,Nepal
Draft,nb005,,notebooks_5,nb-005,,36.11,AUD,13,In Stock,,notebooks,notebooks-5,High quality notebooks,High quality notebooks with multiple variants.,https://placehold.co/600x600?text=nb005+1 | https://placehold.co/600x600?text=nb005+2 | https://placehold.co/600x600?text=nb005+3,Notebooks Product,Buy premium notebooks online,notebooks,notebooks image,4.4,277,,19.08,30 day return,19 x 3 x 1 in,7.87 lb,Jamarko Warehouse,Jamarko,- Material: metal - Dimensions: 9 x 20 x 6 in - Weight: 1.99 lb - High-quality notebooks product,4.87,2 days,Nepal
Draft,nb005-large-floral,nb005,notebooks_5,nb-005-large-floral,size:large | pattern:floral,38.01,AUD,0,Backorder,1,notebooks,notebooks-5-large-floral,High quality notebooks,High quality notebooks with multiple variants.,https://placehold.co/600x600?text=nb005-large-floral+1 | https://placehold.co/600x600?text=nb005-large-floral+2 | https://placehold.co/600x600?text=nb005-large-floral+3 | https://placehold.co/600x600?text=nb005-large-floral+4,Notebooks Product,Buy premium notebooks online,notebooks,notebooks image,4.6,51,,27.7,30 day return,17 x 20 x 4 in,2.27 lb,Jamarko Warehouse,Jamarko,- Material: metal - Dimensions: 8 x 9 x 9 in - Weight: 4.06 lb - Options: size:large | pattern:floral - High-quality notebooks product,4.87,2 days,Nepal
Published,nb005-large-plain,nb005,notebooks_5,nb-005-large-plain,size:large | pattern:plain,39.44,AUD,6,In Stock,1,notebooks,notebooks-5-large-plain,High quality notebooks,High quality notebooks with multiple variants.,https://placehold.co/600x600?text=nb005-large-plain+1 | https://placehold.co/600x600?text=nb005-large-plain+2,Notebooks Product,Buy premium notebooks online,notebooks,notebooks image,4.8,234,,29.2,30 day return,17 x 16 x 10 in,7.44 lb,Jamarko Retail Store A,Jamarko,- Material: leather - Dimensions: 11 x 7 x 8 in - Weight: 0.7 lb - Options: size:large | pattern:plain - High-quality notebooks product,4.87,2 days,Nepal
Archived,nb005-medium-floral,nb005,notebooks_5,nb-005-medium-floral,size:medium | pattern:floral,40.53,AUD,7,In Stock,2,notebooks,notebooks-5-medium-floral,High quality notebooks,High quality notebooks with multiple variants.,https://placehold.co/600x600?text=nb005-medium-floral+1 | https://placehold.co/600x600?text=nb005-medium-floral+2 | https://placehold.co/600x600?text=nb005-medium-floral+3 | https://placehold.co/600x600?text=nb005-medium-floral+4,Notebooks Product,Buy premium notebooks online,notebooks,notebooks image,4.8,204,,25.46,30 day return,15 x 12 x 4 in,13.12 lb,Jamarko Retail Store B,Jamarko,- Material: linen - Dimensions: 12 x 10 x 3 in - Weight: 5.48 lb - Options: size:medium | pattern:floral - High-quality notebooks product,4.87,2 days,Nepal
Draft,gc006,,greeting_cards_6,gc-006,,4.46,EUR,33,In Stock,9,greeting_cards,greeting-cards-6,High quality greeting cards,High quality greeting cards with multiple variants.,https://placehold.co/600x600?text=gc006+1 | https://placehold.co/600x600?text=gc006+2 | https://placehold.co/600x600?text=gc006+3 | https://placehold.co/600x600?text=gc006+4,Greeting_Cards Product,Buy premium greeting_cards online,greeting_cards,greeting_cards image,4.3,74,,3.25,30 day return,13 x 7 x 3 in,7.68 lb,Jamarko Warehouse,Jamarko,- Material: paper - Dimensions: 3 x 16 x 1 in - Weight: 10.35 lb - High-quality greeting cards product,9.04,2 days,Nepal
Draft,gc006-leather,gc006,greeting_cards_6,gc-006-leather,material:leather,5.32,EUR,15,In Stock,3,greeting_cards,greeting-cards-6-leather,High quality greeting cards,High quality greeting cards with multiple variants.,https://placehold.co/600x600?text=gc006-leather+1 | https://placehold.co/600x600?text=gc006-leather+2 | https://placehold.co/600x600?text=gc006-leather+3,Greeting_Cards Product,Buy premium greeting_cards online,greeting_cards,greeting_cards image,4.9,258,,4.07,30 day return,8 x 14 x 8 in,1.96 lb,Jamarko Retail Store A,Jamarko,- Material: fabric - Dimensions: 15 x 8 x 4 in - Weight: 0.74 lb - Options: material:leather - High-quality greeting cards product,9.04,2 days,Nepal
Published,gc006-linen,gc006,greeting_cards_6,gc-006-linen,material:linen,4.49,EUR,3,In Stock,,greeting_cards,greeting-cards-6-linen,High quality greeting cards,High quality greeting cards with multiple variants.,https://placehold.co/600x600?text=gc006-linen+1 | https://placehold.co/600x600?text=gc006-linen+2 | https://placehold.co/600x600?text=gc006-linen+3 | https://placehold.co/600x600?text=gc006-linen+4,Greeting_Cards Product,Buy premium greeting_cards online,greeting_cards,greeting_cards image,4.2,104,,3.39,30 day return,12 x 16 x 5 in,6.19 lb,Jamarko Retail Store A,Jamarko,- Material: leather - Dimensions: 8 x 14 x 3 in - Weight: 9.99 lb - Options: material:linen - High-quality greeting cards product,9.04,2 days,Nepal
Draft,gc006-paper,gc006,greeting_cards_6,gc-006-paper,material:paper,4.18,EUR,15,In Stock,3,greeting_cards,greeting-cards-6-paper,High quality greeting cards,High quality greeting cards with multiple variants.,https://placehold.co/600x600?text=gc006-paper+1 | https://placehold.co/600x600?text=gc006-paper+2,Greeting_Cards Product,Buy premium greeting_cards online,greeting_cards,greeting_cards image,4.4,119,,3.24,30 day return,17 x 9 x 2 in,10.38 lb,Jamarko Warehouse,Jamarko,- Material: leather - Dimensions: 13 x 7 x 9 in - Weight: 7.79 lb - Options: material:paper - High-quality greeting cards product,9.04,2 days,Nepal
Draft,uc007,,uncategorized_7,uc-007,,20.48,EUR,21,In Stock,7,uncategorized,uncategorized-7,High quality uncategorized,High quality uncategorized with multiple variants.,https://placehold.co/600x600?text=uc007+1 | https://placehold.co/600x600?text=uc007+2,Uncategorized Product,Buy premium uncategorized online,uncategorized,uncategorized image,4.2,11,,15.5,30 day return,15 x 14 x 10 in,0.99 lb,Jamarko Retail Store B,Jamarko,- Material: fabric - Dimensions: 3 x 19 x 1 in - Weight: 0.85 lb - High-quality uncategorized product,12.49,4 days,Nepal
